Year,Course URI,Course Group URI,Course Group,Course Name
1977,http://history.archives.mbl.edu/concepts/course/7bcd9acc-3518-48f3-a36b-677d0bd6e62b,http://history.archives.mbl.edu/concepts/coursegroup/59ce91f9-e021-481d-a195-b14146518cc5,Developmental Biology,Developmental Biology 1977
1977,http://history.archives.mbl.edu/concepts/course/8d83831e-a6e2-466c-949c-a08040f15fe9,http://history.archives.mbl.edu/concepts/coursegroup/db004e6b-fe69-48a5-9ccf-0c6ca2e3166d,Bump Neurobiology,Bump Neurobiology 1977
1977,http://history.archives.mbl.edu/concepts/course/a59ace1c-4333-42f3-ac21-f9cbfc49b894,http://history.archives.mbl.edu/concepts/coursegroup/76d7a631-5b57-42f8-9faa-2385ad812fc6,Year-In-Science (I975-I976),Year-In-Science (I975-I976) 1977
1977,http://history.archives.mbl.edu/concepts/course/4f8c5c62-cc0b-46b7-b6af-574b68189096,http://history.archives.mbl.edu/concepts/coursegroup/ff0291b4-a6e8-43e5-97c9-5f25341824ed,Research Program In Microbial Ecology,Research Program In Microbial Ecology 1977
1978,http://history.archives.mbl.edu/concepts/course/c393f09e-42e1-4ece-8ece-ad734d0a73f2,http://history.archives.mbl.edu/concepts/coursegroup/be016a9b-f5fd-41bb-8bc4-44b77328090b,Marine Ecology,Marine Ecology 1978
1978,http://history.archives.mbl.edu/concepts/course/35564fc6-da52-48de-b4c0-5edc7413fd8b,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1978
1978,http://history.archives.mbl.edu/concepts/course/4c6a65bf-bf92-4f0f-8125-e7d636dab9b1,http://history.archives.mbl.edu/concepts/coursegroup/47798ea7-dff4-4921-b4cf-d54d53b5dacb,Experimental Marine Botany,Experimental Marine Botany 1978
1978,http://history.archives.mbl.edu/concepts/course/db384213-d71b-464c-9e8b-72fb55ab92d9,http://history.archives.mbl.edu/concepts/coursegroup/090c9747-5bfc-47a7-93fa-41d6323fbc71,Neural Systems And Behavior,Neural Systems And Behavior 1978
1978,http://history.archives.mbl.edu/concepts/course/2878e2b3-9ee0-49f1-947d-136cdfcccf58,http://history.archives.mbl.edu/concepts/coursegroup/f6e857d4-cc35-4735-a0bd-c66d8a7a3875,Neurobiology,Neurobiology 1978
1978,http://history.archives.mbl.edu/concepts/course/7c1eac9a-ed65-4de0-8eb0-2af9e8e6e665,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1978
1978,http://history.archives.mbl.edu/concepts/course/73d59cc6-9462-4f09-91b0-70e1971590f0,http://history.archives.mbl.edu/concepts/coursegroup/ff0291b4-a6e8-43e5-97c9-5f25341824ed,Research Program In Microbial Ecology,Research Program In Microbial Ecology 1978
1978,http://history.archives.mbl.edu/concepts/course/a219b95a-983a-454b-9380-1e56297a8d51,http://history.archives.mbl.edu/concepts/coursegroup/10362c01-03dd-443b-ac8c-c2c07f5d425d,Boston University Marine Program,Boston University Marine Program 1978
1978,http://history.archives.mbl.edu/concepts/course/c7610930-addc-43f6-8c42-357a5de3406a,http://history.archives.mbl.edu/concepts/coursegroup/17723386-4f64-47d7-9cc9-f5ec9bfb9dd7,The Ecosystems Center,The Ecosystems Center 1978
1978,http://history.archives.mbl.edu/concepts/course/2e30cf0a-23c2-48c3-bc2b-61142f174311,http://history.archives.mbl.edu/concepts/coursegroup/89242b8a-ec6a-4f36-b98e-731654efc04c,Behavior,Behavior 1978
1978,http://history.archives.mbl.edu/concepts/course/ac33ce76-dbc8-4f58-800f-d2d889a64327,http://history.archives.mbl.edu/concepts/coursegroup/59ce91f9-e021-481d-a195-b14146518cc5,Developmental Biology,Developmental Biology 1978
1978,http://history.archives.mbl.edu/concepts/course/1cdb8389-835d-4527-b952-05f9c2335b4e,http://history.archives.mbl.edu/concepts/coursegroup/d31993ac-e828-472b-9763-337e16372bec,Ecology,Ecology 1978
1978,http://history.archives.mbl.edu/concepts/course/cd782d47-c1ad-478a-b602-5d09611cbcc2,http://history.archives.mbl.edu/concepts/coursegroup/62bf7166-6619-4426-8e0a-fc3c80eafb93,Comparative Pathology Of Marine Invertebrates,Comparative Pathology Of Marine Invertebrates 1978
1978,http://history.archives.mbl.edu/concepts/course/9c5f8c0d-6800-4ed0-9c57-637cd0b25981,http://history.archives.mbl.edu/concepts/coursegroup/236c4dbd-50ea-4aa0-aa06-8c3d4570a395,Year-In-Science,Year-In-Science 1978
1979,http://history.archives.mbl.edu/concepts/course/65826354-f436-405c-b087-d81eaa8af325,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1979
1979,http://history.archives.mbl.edu/concepts/course/e2b0315e-14da-458b-b3dd-958e8babd182,http://history.archives.mbl.edu/concepts/coursegroup/47798ea7-dff4-4921-b4cf-d54d53b5dacb,Experimental Marine Botany,Experimental Marine Botany 1979
1979,http://history.archives.mbl.edu/concepts/course/a6ece26c-74fd-434b-98a6-5e94de196e0d,http://history.archives.mbl.edu/concepts/coursegroup/be016a9b-f5fd-41bb-8bc4-44b77328090b,Marine Ecology,Marine Ecology 1979
1979,http://history.archives.mbl.edu/concepts/course/10b66806-2369-4fe9-8d04-a31bf2f4885a,http://history.archives.mbl.edu/concepts/coursegroup/a8d8b96f-f01d-46da-aedc-9f1c09ff149f,Microbial Ecology,Microbial Ecology 1979
1979,http://history.archives.mbl.edu/concepts/course/a7b24b26-f753-4490-aa8b-03102dfbbad8,http://history.archives.mbl.edu/concepts/coursegroup/f6e857d4-cc35-4735-a0bd-c66d8a7a3875,Neurobiology,Neurobiology 1979
1979,http://history.archives.mbl.edu/concepts/course/aac3328b-f8b7-496e-afec-0fc8e3ef87b8,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1979
1979,http://history.archives.mbl.edu/concepts/course/20804af9-c225-451c-95c9-b165556b2db1,http://history.archives.mbl.edu/concepts/coursegroup/090c9747-5bfc-47a7-93fa-41d6323fbc71,Neural Systems And Behavior,Neural Systems And Behavior 1979
1979,http://history.archives.mbl.edu/concepts/course/c39f453d-569e-4c71-8882-5c94b99ffc14,http://history.archives.mbl.edu/concepts/coursegroup/89242b8a-ec6a-4f36-b98e-731654efc04c,Behavior,Behavior 1979
1979,http://history.archives.mbl.edu/concepts/course/9c0af6b9-1fa3-4997-a0e3-c8e975ef7276,http://history.archives.mbl.edu/concepts/coursegroup/62bf7166-6619-4426-8e0a-fc3c80eafb93,Comparative Pathology Of Marine Invertebrates,Comparative Pathology Of Marine Invertebrates 1979
1979,http://history.archives.mbl.edu/concepts/course/440c9df7-55d0-4c4d-885e-8a6163cf7e50,http://history.archives.mbl.edu/concepts/coursegroup/59ce91f9-e021-481d-a195-b14146518cc5,Developmental Biology,Developmental Biology 1979
